,PGAs,acc,psd,resid,accFB,psdFB,residFB,accNoSSI,psdNoSSI,residNoSSI
0,0.1,1.7003563649787434,1.5692672774838747e-05,9.724064346281892e-06,1.718814938362502,1.0047411680137892e-08,2.995498826841887e-11,1.489572367407058,7.777001604358785e-06,2.058792632625444e-06
1,0.2,2.8637231394947715,0.001779124309738994,0.0015754787284181745,3.4393123652099726,2.0045277721496753e-08,-1.0487540977179505e-11,2.662187629789543,0.001033432027028717,0.0009716671965045191
2,0.3,3.417615507828506,0.0027040083520775454,0.001698094087006542,5.157413254047599,3.008887396822508e-08,1.2665332353304485e-11,4.149564060969199,0.002590438465386516,0.0017219564144308026
3,0.4,3.9354788420606757,0.007322334303674609,-6.320128328540355e-05,6.877576261686528,4.01136181378045e-08,4.707135997728343e-11,4.9780135634684335,0.00500782163491857,0.0006084646599729149
4,0.5,4.3400442012946545,0.02100822189150336,-0.0091425738408149,8.592169382536047,5.0166508631461676e-08,2.930043362121853e-11,5.372527408409504,0.017484327379959166,-0.007674439027736925
5,0.6,4.6884809860831504,0.04386709986724829,-0.029712277686047533,10.310575130798053,6.022915991046564e-08,7.741092426662466e-11,5.482628473301652,0.03927241466029583,-0.024618287729944153
6,0.7,4.938572358391484,0.07076154994272822,-0.05587726174105063,12.02845912606426,7.02243817090363e-08,3.929162261666746e-11,5.470686719521422,0.06480796830761501,-0.04923343107440487
7,0.8,5.105043173788358,0.09356267806696145,-0.07936026923667235,13.746252176208817,8.026726374121128e-08,1.1511491916159615e-10,5.645811023898862,0.09094185193999388,-0.07677641613696273
8,0.9,5.182452507597352,0.11034143664510704,-0.09826892277638453,15.464687632010854,9.031202160772318e-08,7.40142746882604e-11,5.705677821299403,0.11129884881972887,-0.09994680957976967
9,1.0,5.204766901073821,0.12395746644479248,-0.11552710792136454,17.18545376075915,1.0032949776613648e-07,7.788693607892866e-11,5.96552593177457,0.12820735527500363,-0.11907828579583826
