,PGAs,acc,psd,resid,accFB,psdFB,residFB,accNoSSI,psdNoSSI,residNoSSI
0,0.1,1.2014364818424328,9.346800276787668e-06,-4.750326888492617e-06,1.208564652385864,1.1702469904120912e-08,1.8724176758873822e-11,1.1750272311229117,8.33373169420274e-06,-3.302190471875143e-06
1,0.2,1.875936361789961,0.00213407290903063,-0.0021189306292670974,2.4129426550728423,2.340991011616424e-08,2.391916431369761e-12,2.023811245739983,0.0017952030999098243,-0.0017884580915400097
2,0.3,3.191392995191841,0.010735727696225477,-0.009034788415050753,3.619127890099154,3.509935051363997e-08,-6.0840609742012836e-12,3.3444165349549175,0.009624354024575553,-0.008814440370326816
3,0.4,3.3439128538052705,0.017682028412151943,-0.015418007702206039,4.825487057807241,4.680291186449631e-08,4.071570493168789e-12,3.443066364184641,0.015213588763517739,-0.013123234015333558
4,0.5,3.726634547230213,0.02729296797030494,-0.011935718744774514,6.0306205436115246,5.850007247673952e-08,3.3109369211125337e-12,3.8738575678423968,0.02554110287232154,-0.010539476428511493
5,0.6,4.023318788012622,0.04413416435877167,-0.002173686407345243,7.236299080252561,7.019828819915505e-08,1.024521927833301e-11,4.467999962554408,0.043994000318596294,-0.0017096271677511266
6,0.7,4.087758637297489,0.05822023062170653,0.012929766606044833,8.44197853125172,8.191528426548758e-08,3.615577061788541e-11,4.700004501147546,0.06105676717977051,0.016327813075686898
7,0.8,3.930672848114604,0.07540298381704832,0.036393764124797556,9.646211302292283,9.361842049818485e-08,4.421185203074564e-12,4.783833372179872,0.07480293534608316,0.03340004158026701
8,0.9,4.135682581660841,0.09515261155434918,0.06937707416534208,10.852019846429453,1.0532266442122343e-07,-7.335870464429878e-12,4.67819931654915,0.0941933788378971,0.0618826573327306
9,1.0,4.219576411835048,0.11449303305831898,0.1025317435673139,12.058464257012844,1.1702186064105275e-07,2.853874679261949e-12,4.833059142687207,0.11266424919313295,0.09189182044688929
