,PGAs,acc,psd,resid,accFB,psdFB,residFB,accNoSSI,psdNoSSI,residNoSSI
0,0.1,1.0348759403529542,2.7867137442554787e-05,2.6265111213135955e-06,1.0386551246198898,3.2256716655325176e-08,1.2107737016243748e-09,1.189325860991473,2.6838902036030498e-05,1.4622829848628374e-06
1,0.2,2.303641072270761,0.00258136881151403,-0.0002169107253062745,2.0769186307557925,6.4511398085709e-08,-9.029445130419418e-10,2.255004056274536,0.0023836738274218027,0.00022416097970828249
2,0.3,3.1150055897012088,0.030879722176786157,-0.021141618879050736,3.115530264060107,9.678367094600706e-08,2.960391580779856e-09,3.374512405979753,0.026248177598554866,-0.016604061788507103
3,0.4,3.384014401768195,0.08937806079160233,-0.04844480747739306,4.154425578032868,1.2904134694124848e-07,3.1964928974614634e-09,3.704626096533019,0.08298634187083277,-0.044637545634639605
4,0.5,3.4715263748468166,0.1293716455340506,-0.09074133011086995,5.1922472823157,1.612938474067093e-07,4.4510973671347975e-09,4.050281498208038,0.1241582637460995,-0.08259503071877226
5,0.6,3.5384871958266473,0.14029051017269745,-0.12182316902500144,6.2298595727238855,1.9356774500058282e-07,3.6870750838466314e-09,3.99360404373862,0.13736270198831194,-0.11612469787091824
6,0.7,3.630007165728361,0.18940247965592344,-0.1331206115354008,7.268090996044188,2.2581399739906975e-07,-1.7271420174533518e-10,4.036229752479596,0.18959388385139656,-0.12521590703272198
7,0.8,3.6384539273283787,0.2557792146890331,-0.13310198920185057,8.307320651617943,2.580957382325309e-07,6.557151980365983e-09,4.019488445883925,0.2545316857318975,-0.12438417618621962
8,0.9,3.6038765842072746,0.3280165596100935,-0.09693923194994428,9.34529951889829,2.903624148817426e-07,6.569172513754091e-09,4.16476112109343,0.3260574620073095,-0.09835896956729345
9,1.0,3.7256056557465818,0.40608323289279974,-0.049588117265391765,10.383891107232248,3.226232555711949e-07,6.5439413060623455e-09,4.4392451503766015,0.4003470855992491,-0.06059102747287485
