,PGAs,acc,psd,resid,accFB,psdFB,residFB,accNoSSI,psdNoSSI,residNoSSI
0,0.1,2.430764297107218,8.195639653042765e-05,6.357766092087454e-05,2.511029925888414,2.297587540060088e-08,-4.6077731236656735e-11,1.693401321464191,1.6851943774405925e-05,1.1953044692348473e-07
1,0.2,2.8419671202859167,0.0013899268693256892,0.00019882158724456034,5.019181943724564,4.5974684285475605e-08,-4.197763680947666e-11,3.042021054609606,0.0007363458376515828,0.0005691022181807705
2,0.3,3.5347621788129477,0.019425503514577152,0.016198062872312367,7.530441169995836,6.90058107229653e-08,-4.553649518755606e-11,3.8439681652184152,0.015957422804284842,0.013117068403460552
3,0.4,3.8129974814196372,0.056746436499957226,0.04304744754135238,10.038387898633587,9.199476603257559e-08,-7.891095856638671e-11,4.882793530756841,0.051927123515145,0.038080119069315306
4,0.5,4.391605444250386,0.09749484741207884,0.06194962368354768,12.549685641182782,1.1499653720359023e-07,-6.334742348819951e-11,5.232244195381561,0.0917552861253669,0.05589948977154774
5,0.6,4.578724769971793,0.14476909059082646,0.03363847444680784,15.058703311080777,1.3800760531284148e-07,-5.950949470811105e-11,5.364128259344511,0.13455627821488148,0.03090312520234117
6,0.7,4.869780592973866,0.20398284438968414,-0.027785123002749972,17.570275071101616,1.610190110225281e-07,-8.359256613911356e-11,5.308780157736004,0.18908120887371696,-0.02832145307916126
7,0.8,4.773808614051893,0.2656238039567224,-0.11557422731519039,20.079192435149494,1.840133688086556e-07,-9.398332472416806e-11,5.7670288215635575,0.25289030635161436,-0.10750284355988228
8,0.9,4.464685353875252,0.3397677067560072,-0.19258992329697316,22.59214028247435,2.0700370909107742e-07,-1.1492519346647717e-10,6.213376655945057,0.3293632881766135,-0.18311505303611345
9,1.0,3.920747189942374,0.46685447645621647,-0.20875967905577655,25.102429262858657,2.300336246047466e-07,-1.4919917522889153e-10,5.774721390480589,0.4643307223502373,-0.2013920291915195
