,PGAs,acc,psd,resid,accFB,psdFB,residFB,accNoSSI,psdNoSSI,residNoSSI
0,0.1,1.3322155696442133,1.933237761437099e-05,-5.694340476484774e-06,1.342760876184104,2.7624999569794604e-08,-6.5599401526529965e-12,1.528150924467218,1.9249675846807844e-05,-5.247677571984684e-06
1,0.2,2.514264981869482,0.002150569261365594,-0.0021260541094680523,2.6859136984182155,5.527277731829471e-08,1.3157092454309789e-11,3.0290623349333075,0.0018140209306035371,-0.0017916004379704728
2,0.3,3.4702193009010336,0.024933569584219214,-0.02485437979053109,4.0317240040313065,8.288621138815567e-08,-1.7176877234361486e-11,4.127896032467837,0.01970347618528643,-0.019638292096707397
3,0.4,3.7171015260830376,0.0679138151218364,-0.06687988702488916,5.3737200309323665,1.105465929071779e-07,2.1178542255652666e-11,4.031545515401069,0.06030674742930808,-0.05921435044091278
4,0.5,4.216715993985451,0.12411080882244942,-0.11869020942608396,6.717889382480269,1.3815681795663055e-07,-2.722661427014413e-12,4.91592869346579,0.11177522660761077,-0.1071696095857126
5,0.6,4.383166133328843,0.18940890172226685,-0.17517605251494195,8.059368812352274,1.6581810179189328e-07,5.381274708924281e-11,5.742511997494754,0.1737953732916783,-0.1630501173443886
6,0.7,4.239447274746334,0.3083487647780587,-0.2834372652908917,9.404370700168547,1.9344112545004493e-07,3.8846850181090164e-11,5.834724060933845,0.30151585872056724,-0.2820533344985158
7,0.8,4.293103570603808,0.4838125156317889,-0.4469004710649649,10.746839287594174,2.2106897804062683e-07,4.8193321944696606e-11,5.528868705249755,0.48961659380095435,-0.4587323197073974
8,0.9,3.9569898493810274,0.672433277012796,-0.621980361380813,12.093568035841951,2.486967579390623e-07,2.8466874846806085e-11,5.214529013933323,0.6764994081594227,-0.6323308837596514
9,1.0,4.061698651203919,0.9017365999882747,-0.8338638155603043,13.432822922949246,2.763442910774399e-07,3.6220283043637145e-12,5.076629707017744,0.8982116192560524,-0.8375401692361999
