PGAs,acc,psd,resid,accFB,psdFB,residFB,accNoSSI,psdNoSSI,residNoSSI
0.1,1.613759970268545,2.5398185571708336e-05,3.587900392191463e-06,1.6328220096973958,2.261502428109883e-08,1.1508367052699841e-10,1.5420747980707952,1.7836933366468807e-05,1.1054020160280227e-07
0.2,2.8957496018515085,0.0023141717956888684,-0.0012490320865567513,3.265288206501714,4.7074357470809764e-08,1.7512405265050518e-09,3.031184155255737,0.0015311098468507246,-0.0006578276106517603
0.3,3.6026262379388996,0.017472090328618354,-0.0028567322970726523,4.897635958599983,6.767386257937072e-08,5.277051126484627e-11,3.980436501230435,0.01479246856193001,-0.0018106206011443975
0.4,4.014785079966048,0.0524070097892992,-0.004738870743714168,6.530097337297809,9.024445346725084e-08,9.319472470685304e-11,4.594382452360971,0.04759748238681351,-0.004086309902032449
0.5,4.248759576470468,0.09301684422194015,-0.008482297873003817,8.16266997038263,1.1306833477400159e-07,4.3081837592233933e-10,4.9816340855186425,0.087280231915661,-0.007451102668689329
0.6,4.35223936129934,0.14039834579159483,-0.016938931294410924,9.79517501228647,1.3569763051740312e-07,3.645016268447049e-10,5.03549307638035,0.13409387321227362,-0.016307853452061424
0.7,4.423763514390997,0.20853158672683766,-0.03064939993140687,11.427209698933739,1.5831384528866353e-07,-1.64999161512727e-11,5.181671880762361,0.20240674823743393,-0.02961553711112851
0.8,4.431542532537675,0.29030449501644867,-0.04484672949666224,13.059389585180366,1.8093440561750474e-07,6.570449565230977e-10,5.2216024787070205,0.28664600546750724,-0.046298721346549124
0.9,4.429009748087779,0.38528941413591333,-0.06180703015767477,14.692257386712521,2.0354798700915335e-07,6.417780160029507e-10,5.265351677826487,0.37827788605226365,-0.06247810169094441
1.0,4.516906250161273,0.4968487673105414,-0.0744874975538482,16.32429513087431,2.2617193877686964e-07,6.510760644567195e-10,5.31108404369453,0.49008752188455745,-0.07704485388656519
