PGAs,acc,psd,resid,accFB,psdFB,residFB,accNoSSI,psdNoSSI,residNoSSI,
0.1,1.58097676677425,1.65710365927025E-05,-2.07604308502311E-06,1.48599027736499,2.01487603678438E-08,1.09123678709972E-09,1.58534348122342,1.35947701707255E-05,-2.45171691113389E-06,21.8927306942344
0.2,2.75806897498096,0.00231467676100713,-0.00064890491035509,3.18560220442863,3.42611424603515E-08,3.11648479351168E-09,2.8557341070626,0.00179783546896962,-0.000809774336859508,28.7479750487806
0.3,3.45098759379367,0.0123714631810013,-0.0062617288615952,4.77861586699061,4.65654067772479E-08,-1.3262366219134E-10,3.78835974465249,0.0104666888974248,-0.00574736855427234,18.1984417636136
0.4,3.90250861322169,0.0258024005893207,-0.00962311483146995,6.37126061438353,6.1979671404857E-08,-2.88407367678938E-10,4.45772762692952,0.0232005803429021,-0.00852606576160337,11.2144619141592
0.5,4.29173757161194,0.044815613404561,-0.0102816859243387,7.96297192391314,7.74856643344134E-08,-6.27941837062442E-10,4.91637841791563,0.0415249077010526,-0.00871884373924384,7.92465507015418
0.6,4.53145566692988,0.0711066154691016,-0.00445536239994297,9.55578222921068,9.3758575995878E-08,3.39099785876735E-10,5.24652729455957,0.0684746623159607,-0.00305735070103124,3.84368913131145
0.7,4.6088956529823,0.103191435585499,0.00570696005031057,11.1479861026522,1.08999952876595E-07,1.45628895845494E-11,5.40937191568974,0.100723777055362,0.00639072740238475,2.44992652408163
0.8,4.64180940549699,0.149260684206845,0.0273941345062354,12.7407477594035,1.24458943167669E-07,-1.03726024226217E-10,5.45583562803649,0.146107567777487,0.0264991894707661,2.15807878901955
0.9,4.74418276413425,0.195039938105503,0.0454009682593037,14.3329210476243,1.40168882470213E-07,2.76735777631877E-11,5.4316436636309,0.196165172589529,0.0469850267188575,-0.573615830563325
1,4.83107955172174,0.240455868323283,0.066099551840662,15.9257790340668,1.55741368407421E-07,2.02473844351414E-11,5.58935424043441,0.243306852101068,0.0683308772196367,-1.17176468856742
