,PGAs,acc,psd,resid,accFB,psdFB,residFB,accNoSSI,psdNoSSI,residNoSSI
0,0.1,1.6083794776771603,1.56971184526189e-05,-4.172148412061972e-06,1.6214378926597943,2.096812373998464e-08,-4.150874893140361e-11,1.3444439464389322,1.521374267441072e-05,-3.99936091911513e-06
1,0.2,2.7462976303769246,0.0019555627254047533,-0.0012781391329016209,3.2418549206189926,4.189206968518248e-08,-7.837907901055506e-12,2.509004910009224,0.0025141199971778216,-0.002004191382040913
2,0.3,3.0041639597935035,0.015798544999953434,-0.013389305979766477,4.8624196439779555,6.281232593680545e-08,3.988165531648699e-12,3.4950486413176907,0.01624320622403354,-0.013077968265125736
3,0.4,4.052880803299366,0.025659457467848115,-0.018284908910473695,6.484042163659227,8.373098721424148e-08,4.667072646375009e-11,4.608241604586257,0.026126140199290993,-0.01746229711406342
4,0.5,3.8140328933836716,0.0495131982558387,-0.036885421611382294,8.102820627079817,1.0467617379101738e-07,1.531227129763677e-11,5.066121319227022,0.043054288496641314,-0.030154404763406157
5,0.6,4.030372970532171,0.10115772332593319,-0.008104090386006905,9.723303738139688,1.255848739448434e-07,5.2360692711109905e-11,4.3030995346618734,0.10006897801738406,-0.0037020466324021555
6,0.7,4.373102499851839,0.16305399963912318,0.02022068031213589,11.3445613657633,1.4651895572000912e-07,5.846766789853349e-11,5.123709492129985,0.1614314392612704,0.02793778484948063
7,0.8,4.19634730462198,0.24785231909367786,0.06375823036843672,12.96699426171687,1.674819494028149e-07,6.437500991228483e-11,4.924726036714468,0.24948464797842074,0.07534599423703876
8,0.9,4.340570130404942,0.32714086192959474,0.10107292032720896,14.584960806983066,1.8839609064845547e-07,6.252343616678233e-11,5.245643244097518,0.3494975469940373,0.12937575985499383
9,1.0,4.414380678330518,0.422819459703227,0.1429282307826143,16.207265075779503,2.093290125190893e-07,5.6034733057486375e-11,5.365842760487579,0.45662156353988004,0.18332576058422972
