,PGAs,acc,psd,resid,accFB,psdFB,residFB,accNoSSI,psdNoSSI,residNoSSI
0,0.1,1.5397504147549497,7.327870464635001e-06,-4.40350944682656e-06,1.5525380628657963,6.2105060650055525e-09,-9.086776335679366e-12,1.6091579299404166,4.749196280724382e-06,-7.300620333852865e-07
1,0.2,2.5611414518375035,0.0009234537777775004,-0.000915450475642385,3.103287233391841,1.2426239159233828e-08,-1.7354334350024864e-11,3.1080663008115734,0.00016607638369040603,-0.00015957934152069556
2,0.3,3.569831650715113,0.003835913801095566,-0.003812297851287052,4.655657750117236,1.8648249686525884e-08,-7.564453388671868e-13,3.998076149313896,0.0021831864960203825,-0.002169184099791921
3,0.4,4.293903941425111,0.00990213731815649,-0.009624693716582599,6.205949777618807,2.4849737628476768e-08,-2.4062757707356335e-11,4.636409769596483,0.007320531367823496,-0.007280716965769788
4,0.5,4.759230198656743,0.016282953614856467,-0.014909587646476449,7.759122060759898,3.107377877911046e-08,-1.0116767071585216e-11,5.262010142074856,0.013752573805002579,-0.013338837476708833
5,0.6,5.070049961119047,0.02313419938547961,-0.020037229958401848,9.31190082350279,3.7300980388962404e-08,1.0215723865348322e-11,6.045442910723008,0.020484345420194453,-0.01893370165490073
6,0.7,4.5108900035029365,0.03337116471378998,-0.02768288106388804,10.862877908441725,4.34889198421016e-08,-4.332229155328289e-11,5.688854926041459,0.02980277306379829,-0.02614685836547702
7,0.8,3.9275748737781226,0.03450891459649564,-0.025288046828502445,12.413383355217434,4.9715066021886464e-08,8.661479615840905e-13,4.834416609946077,0.03488683225955091,-0.02849165199652271
8,0.9,4.111160372543391,0.04348508496408912,-0.03016374224764277,13.966747935259654,5.591810760655547e-08,-2.0814942659021576e-11,5.313296144272631,0.04213292432850198,-0.032351137748144715
9,1.0,4.29922396748754,0.05788900073423043,-0.040258126134316126,15.518881473046346,6.215052372270843e-08,-1.3653587880009304e-11,5.572901527899769,0.056084717610789314,-0.04198116330966915
