,PGAs,acc,psd,resid,accFB,psdFB,residFB,accNoSSI,psdNoSSI,residNoSSI
0,0.1,2.1810648518818248,2.870724190411147e-05,-1.553860899930059e-05,2.2076769096773794,1.5660124036279254e-08,3.552905290741814e-11,2.581338615000718,2.0313927628482874e-05,-9.480919658081792e-06
1,0.2,3.2298259294736686,0.0018655825771308652,-0.0007394506317546052,4.417801368031456,3.1325256398010545e-08,-1.0756236261045363e-11,3.9525660115622685,0.00228313321077542,-0.001867420097960574
2,0.3,3.7190661151306306,0.007619823402914169,-0.007556500304914646,6.625846314508964,4.6970406241995374e-08,3.601078397988359e-11,4.501339141291057,0.009539738755223648,-0.009471323603828975
3,0.4,3.973213706066952,0.032832092044178335,-0.032308439424755225,8.834303359959334,6.259537908933744e-08,6.187007154517826e-11,5.1411200922530815,0.03202335555551479,-0.03163696586357557
4,0.5,4.929890412710757,0.06845364469326885,-0.06311041327153337,11.043542662486605,7.827940782036298e-08,9.137407306565155e-11,5.421216083030555,0.06458650725376804,-0.06131515899114283
5,0.6,4.667081990527679,0.12463323890931374,-0.10804256383866137,13.252386541121215,9.395289323383687e-08,9.799729745864086e-11,5.718695803101559,0.11992974194322703,-0.10579347572481161
6,0.7,5.039416230400337,0.19428754495373066,-0.15669108153827643,15.460351378309422,1.0958270587277485e-07,6.511876846262784e-11,6.0837258256736035,0.18613969724527346,-0.1552445319114501
7,0.8,4.959862608997922,0.2653449182141176,-0.18791587057165354,17.669764993814102,1.252452034061003e-07,6.750735931615279e-11,6.117974643396985,0.2582410511115622,-0.18235925107110962
8,0.9,5.136532090934494,0.3315203219242364,-0.207038903114717,19.8782944173355,1.4092275627053995e-07,7.160060668327785e-11,6.065879485169559,0.3248833300579167,-0.20208273318279452
9,1.0,4.9055250710784115,0.4012318894451859,-0.17758311296711451,22.085920487629707,1.5657968982551934e-07,8.3919573203798e-11,5.734056946726339,0.39493439314422196,-0.1736767854164968
