,PGAs,acc,psd,resid,accFB,psdFB,residFB,accNoSSI,psdNoSSI,residNoSSI
0,0.1,1.5752986139864593,1.9898037880014838e-05,-9.796807963067503e-06,1.5875892458084695,1.5179186813511446e-08,6.464429363735831e-12,1.711328949187269,1.6241832168335606e-05,-6.213272714983374e-06
1,0.2,2.810548057477592,0.002795475985473331,-0.002773047944413018,3.1753959512487477,3.0399329257365107e-08,-1.3542430673257527e-11,2.899545548008588,0.001867173200779757,-0.0017992832018052503
2,0.3,3.6621066351504266,0.015713494053418396,-0.015211204306906262,4.767243154516811,4.559943182683972e-08,2.577261318187981e-13,3.830487768533218,0.013478592458549868,-0.012784953870474123
3,0.4,4.324432310711529,0.02678295542840748,-0.022791528811591008,6.354255825163825,6.080677256658303e-08,-1.3908375414284696e-11,5.186716135911839,0.024427822806846657,-0.02164188771369638
4,0.5,4.6710361812207015,0.04273433684864093,-0.022777351758371988,7.939793765971215,7.604112519218005e-08,-2.856014653784669e-10,5.7408043169675835,0.03865487600419178,-0.02243860271559471
5,0.6,4.780997793740413,0.0651004429995406,-0.020545989741442075,9.530867753153265,9.12304052052953e-08,-6.500181233393758e-11,5.7816655770646745,0.060942973872403286,-0.02306303685053443
6,0.7,4.844006280775755,0.08529483773379287,-0.025343306732163073,11.115714047601482,1.0643145358071198e-07,-3.343887526275371e-11,5.575495913259632,0.08700374596632565,-0.03579831315655505
7,0.8,4.876578689642804,0.10627649163925042,-0.03517946414719176,12.705139815455505,1.2160787491136608e-07,-2.0929693669103964e-11,5.402417900407839,0.11054734990310996,-0.05273507837769503
8,0.9,5.428445886201365,0.1259915424390087,-0.08132121156399172,14.292280148000891,1.368231888710804e-07,-6.26168823448293e-11,5.824951662776552,0.13058728596615485,-0.09999020268154385
9,1.0,5.4219426276256115,0.15965886372238847,-0.1462431276174993,15.88072668479608,1.5206722627709516e-07,-1.1322512492698684e-10,6.308131443835741,0.17182519407279626,-0.161231479579945
