,PGAs,acc,psd,resid,accFB,psdFB,residFB,accNoSSI,psdNoSSI,residNoSSI
0,0.1,1.728018614713219,2.1632435173874487e-05,1.012571300662148e-05,1.7361629264564766,2.4033987560715477e-08,5.78965344033705e-09,1.5896903891923686,1.7853154249697694e-05,6.436737080450004e-06
1,0.2,3.440623783149788,0.003507632648173561,0.003486276564267837,3.4702477238383986,3.6804729318996864e-08,2.907632127068683e-10,3.526818420382471,0.0018142089827322505,0.001725269877453669
2,0.3,4.080273422792947,0.019230936850656466,0.019146479701338197,5.206687112610583,5.4733687264687905e-08,-2.001895418000259e-12,4.284429211948721,0.015001078759920244,0.014962751838413958
3,0.4,4.789926603368614,0.04314303407504436,0.04207125915052103,6.943056873052816,7.294767106923284e-08,-4.742482472145427e-11,5.131513406751553,0.03698493027801385,0.03671256275213521
4,0.5,4.778836338115769,0.07159863769763947,0.06821710812713315,8.679209880083961,9.120374558593377e-08,-1.0844161674283407e-11,5.5488542681455035,0.06430574702763005,0.06246629962458758
5,0.6,4.8462149241554595,0.10116953277833998,0.09467972114727807,10.413493083145708,1.0944497053517503e-07,-2.3267124394237645e-11,5.741554473535014,0.0946196755687122,0.09017418942730206
6,0.7,5.08159011989267,0.13611002649423712,0.12590290465647486,12.150904927784811,1.277077592509073e-07,7.962514824917774e-12,5.614333849787711,0.12639745785033404,0.11872405032048497
7,0.8,5.725303779091512,0.1763641065644465,0.16196713700351167,13.885782718692084,1.459731364566305e-07,4.1030094589209166e-11,6.173928928737344,0.17010355769713473,0.15889026891899935
8,0.9,5.951963603766015,0.2055580374624722,0.18583510351838572,15.619779960969595,1.6421822961467638e-07,1.80453965315324e-11,6.439298951494015,0.2044090896415398,0.18818180437264334
9,1.0,5.8149230081225936,0.23886862980520063,0.21333220782930742,17.357283603502733,1.8246092322130943e-07,2.5398645844635698e-11,6.488005462963325,0.24255944985661146,0.22081060170045813
